distributor,gross,percent_change,theaters,per_theater,total_gross,days,date,movie
Universal,13280,-7,189,70,114434010,49,2017-03-30,Fifty Shades Darker
Warner Bros.,8968,15,125,72,32187017,56,2017-04-13,Fist Fight
Sony Pictures,3373,-31,33,102,16877430,52,2017-11-19,Flatliners
A24,180,-19,6,30,1799322,28,2017-05-18,Free Fire
Entertainment Studi…,32,14,1,32,3759078,70,2017-11-30,Friend Request
FIP,412,-44,17,24,410055,21,2017-09-14,"Gentleman: Sundar, Susheel, Risky"
Warner Bros.,11702,-51,110,106,33578782,73,2017-12-31,Geostorm
Universal,14055,-12,121,116,175484140,105,2017-06-08,Get Out
Paramount Pictures,8191,19,124,66,40563557,56,2017-05-25,Ghost in the Shell
Fox Searchlight,2798,55,21,133,24768464,119,2017-08-03,Gifted
Universal,4450,-8,90,49,115108515,84,2017-10-12,Girls Trip
Warner Bros.,3890,11,53,73,45018541,98,2017-07-13,Going in Style
Sony Pictures,946,NA,10,95,2571,3,2017-12-03,Gold
Weinstein Co.,1243,29,21,59,7227038,42,2017-03-09,Gold
A24,2299,-10,6,383,2009484,63,2017-10-12,Good Time
Fox Searchlight,2189,30,29,75,1699638,49,2017-11-30,Goodbye Christopher Robin
Good Deed Entertain…,389,-74,12,32,35312,14,2017-02-16,Growing up Smith
Walt Disney,2599,12,80,32,389813101,140,2017-09-21,Guardians of the Galaxy Vol 2
Lionsgate,26411,7,107,247,67209615,126,2017-03-09,Hacksaw Ridge
Universal,2840,1,88,32,55683845,63,2017-12-14,Happy Death Day
Lionsgate,2554,-33,68,38,2534252,35,2017-10-05,Hazlo Como Hombre
20th Century Fox,2264,23,29,78,169323813,159,2017-06-01,Hidden Figures
Open Road,2566,31,63,41,27020284,63,2017-11-09,Home Again
Entertainment Studi…,9739,-26,5,1948,85745,10,2017-12-31,Hostiles
Lionsgate,15387,2,119,129,32149404,56,2017-06-22,How to Be a Latin Lover
Neon,155000,-38,49,3163,2351336,24,2017-12-31,"I, Tonya"
Sony Pictures,1267,24,83,15,34343574,84,2017-01-19,Inferno
Neon,414,148,4,104,3021133,73,2017-10-22,Ingrid Goes West
,5.00E+05,NA,393,1272,5.00E+05,1,2017-09-01,Inhumans
Fathom Events,500340,NA,714,701,2570355,13,2017-03-07,Is Genesis History?
Warner Bros.,6382,-2,208,31,327481748,98,2017-12-14,It
A24,364,6,3,121,13878346,77,2017-08-24,It Comes at Night
Paramount Pictures,5410,7,113,48,58697076,84,2017-01-12,Jack Reacher: Never Go Back
Fox Searchlight,6848,-27,70,98,13874724,98,2017-03-09,Jackie
UTV Communications,788,-60,31,25,861740,21,2017-08-03,Jagga Jasoos
Abramorama Films,27215,NA,19,1432,1432348,67,2017-12-25,Jane
Fathom Events,436384,NA,669,652,2214345,9,2017-10-04,Jeepers Creepers 3
The Orchard,70,-61,5,14,228153,70,2017-06-29,Jeremiah Tower: The Last Magnificent
Lionsgate,10132,6,151,67,38052832,56,2017-12-21,Jigsaw
Lionsgate,14913,8,181,82,92029184,77,2017-04-27,John Wick: Chapter Two
FIP,12539,-25,166,76,1554222,14,2017-02-23,Jolly LLB 2
Sony Pictures,2681,-45,5,536,870451,24,2017-02-26,Journey to the West: The Demons Strike Back
FIP,3214,-45,106,30,1431255,21,2017-10-19,Judwaa 2
Sony Pictures,12989945,-33,3765,3450,169002557,12,2017-12-31,Jumanji: Welcome to the Jungle
The Orchard,3300,NA,2,1650,12795,14,2017-03-16,Junction 48
Broad Green Pictures,215016,45,1840,117,5856400,12,2017-12-19,Just Getting Started
Warner Bros.,276222,-44,1215,227,225546295,45,2017-12-31,Justice League
Sony Pictures,94178,NA,805,117,94178,1,2017-10-31,Keep Watching
Aviron Pictures,360,14,10,36,30718107,105,2017-11-16,Kidnap
Warner Bros.,8179,-6,121,68,39175066,70,2017-07-20,King Arthur: Legend of the Sword
20th Century Fox,5085,9,92,55,100199005,91,2017-12-21,Kingsman: The Golden Circle
Warner Bros.,18365,19,171,107,168052812,98,2017-06-15,Kong: Skull Island
Lionsgate,10989,-1,148,74,151101803,140,2017-04-27,La La Land
A24,387940,-32,392,990,31432463,59,2017-12-31,Lady Bird
Roadside Attractions,124,134,6,21,1129408,84,2017-10-05,Lady Macbeth
Amazon Studios,1158,38,9,129,965481,49,2017-12-21,Last Flag Flying
Epic Pictures Group,128,68,1,128,6294,14,2017-10-05,Last Rampage
Electric Entertainment,2514,41,6,419,2468683,45,2017-12-17,LBJ
Weinstein Co.,192,-50,29,7,21858070,105,2017-12-07,Leap!
Atlas Distribution,504,-53,8,63,7210068,66,2017-12-31,Let There Be Light
Sony Pictures,16134,-46,132,122,30001060,45,2017-05-07,Life
Weinstein Co.,6152,-20,65,95,51728731,161,2017-05-04,Lion
Warner Bros.,191,-44,17,11,10378555,75,2017-03-09,Live by Night
20th Century Fox,1652,4,22,75,226258569,112,2017-06-22,Logan
Bleecker Street,518,-50,23,23,27778642,81,2017-11-06,Logan Lucky
Abramorama Films,261572,NA,50,5231,261572,1,2017-05-25,Long Strange Trip
Purdie Distribution,173,-4,2,87,407871,133,2017-10-12,"Love, Kennedy"
Focus Features,5754,35,33,174,7710234,84,2017-01-26,Loving
BH Tilt,3860,-11,40,97,6179955,42,2017-06-22,Lowriders
Roadside Attractions,251,NA,2,126,47695371,158,2017-04-24,Manchester-by-the Sea
Open Road,2687,-42,50,54,9468318,80,2017-12-31,Marshall
Fathom Events,2620183,NA,485,5402,2620183,1,2017-08-26,Mayweather vs. McGregor
Bleecker Street,1604,39,62,26,13406304,98,2017-09-14,Megan Leavey
A24,1183,-29,7,169,1702996,84,2017-10-19,Menashe
Entertainment Studi…,10,-93,2,5,2537,7,2017-06-15,Miles
20th Century Fox,1108,-9,50,22,87233361,126,2017-02-02,Miss Peregrine's Home for Peculiar Children
EuropaCorp,6969,-19,35,199,3500605,39,2017-01-02,Miss Sloane
Walt Disney,1175,15,37,32,248757044,156,2017-04-27,Moana
STX Entertainment,729998,-17,271,2694,5377480,7,2017-12-31,Molly's Game
Paramount Pictures,31724,3,181,175,33370166,63,2017-03-16,Monster Trucks
A24,164,-68,4,41,27854931,196,2017-05-04,Moonlight
Paramount Pictures,8488,-17,106,80,17800004,42,2017-10-26,mother!
Sony Pictures,1458,-26,8,182,757057,24,2017-08-20,Mubarakan
20th Century Fox,176205,-24,391,451,100619624,52,2017-12-31,Murder on the Orient Express
Fox Searchlight,1329,-20,16,83,2716368,56,2017-08-03,My Cousin Rachel
GKIDS,216,1700,6,36,68883,42,2017-05-25,My Entire High School Sinking Into the Sea
GKIDS,55,-79,6,9,309768,70,2017-05-04,My Life as a Zucchini
Lionsgate,3798,20,180,21,21885107,63,2017-12-07,My Little Pony: The Movie
GKIDS,357,-63,4,89,48198,28,2017-10-05,Napping Princess
The Orchard,60,-36,2,30,939099,147,2017-05-11,Neruda
