"","Title","Genre","Awards","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2"
"149","Crown Heights","Biography, Crime, Drama, Romance","6 wins & 8 nominations.","Internet Movie Database","6.4/10","Rotten Tomatoes","76%","Metacritic","64/100"
"150","Lemon","Comedy, Drama","1 win & 6 nominations.","Internet Movie Database","4.6/10","Metacritic","59/100",NA,NA
"151","Patti Cake$","Drama, Music","7 wins & 11 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","83%","Metacritic","67/100"
"152","Sidemen: Long Road to Glory","Documentary, Biography, History","5 wins & 3 nominations.","Internet Movie Database","8.3/10","Rotten Tomatoes","100%","Metacritic","70/100"
"153","The Hitman's Bodyguard","Action, Comedy, Thriller","N/A","Internet Movie Database","6.9/10","Rotten Tomatoes","40%","Metacritic","47/100"
"154","The Queen of Spain","Comedy, Drama","7 nominations.","Internet Movie Database","5.1/10","Metacritic","46/100",NA,NA
"155","A Taxi Driver","Action, Drama, History","16 wins & 21 nominations.","Internet Movie Database","7.8/10","Rotten Tomatoes","96%","Metacritic","69/100"
"156","After Love","Drama","3 wins & 2 nominations.","Internet Movie Database","6.5/10","Rotten Tomatoes","89%","Metacritic","66/100"
"157","Annabelle: Creation","Horror, Mystery, Thriller","3 nominations.","Internet Movie Database","6.5/10","Rotten Tomatoes","70%","Metacritic","62/100"
"158","Good Time","Crime, Drama, Thriller","6 wins & 36 nominations.","Internet Movie Database","7.3/10","Rotten Tomatoes","91%","Metacritic","80/100"
"159","Ingrid Goes West","Comedy, Drama","2 wins & 8 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","85%","Metacritic","71/100"
"160","Nocturama","Drama, Thriller","5 wins & 19 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","88%","Metacritic","71/100"
"161","Pilgrimage","Adventure, Drama, Mystery","1 nomination.","Internet Movie Database","5.8/10","Rotten Tomatoes","66%","Metacritic","60/100"
"162","Mortification - Live Planetarium","Music","N/A","Internet Movie Database","7.8/10",NA,NA,NA,NA
"163","The Glass Castle","Biography, Drama","1 win & 1 nomination.","Internet Movie Database","7.2/10","Rotten Tomatoes","50%","Metacritic","56/100"
"164","The Nut Job 2: Nutty by Nature","Animation, Action, Adventure","2 nominations.","Internet Movie Database","5.4/10","Rotten Tomatoes","13%","Metacritic","36/100"
"165","The Only Living Boy in New York","Drama","N/A","Internet Movie Database","6.3/10","Rotten Tomatoes","33%","Metacritic","33/100"
"166","The Trip to Spain","Comedy, Drama","N/A","Internet Movie Database","6.6/10","Rotten Tomatoes","82%","Metacritic","66/100"
"167","Whose Streets?","Documentary","1 win & 16 nominations.","Internet Movie Database","4.9/10","Rotten Tomatoes","98%","Metacritic","81/100"
"168","4 Days in France","Comedy, Drama, Romance","2 nominations.","Internet Movie Database","6.0/10","Metacritic","73/100",NA,NA
"169","68 Kill","Comedy, Crime, Romance","3 wins & 1 nomination.","Internet Movie Database","6.0/10","Rotten Tomatoes","74%","Metacritic","56/100"
"170","Armed Response","Action, Horror, Thriller","N/A","Internet Movie Database","3.8/10","Rotten Tomatoes","0%","Metacritic","13/100"
"171","Brave New Jersey","Comedy","4 wins.","Internet Movie Database","5.3/10","Rotten Tomatoes","47%","Metacritic","45/100"
"172","Chronically Metropolitan","Comedy, Drama","N/A","Internet Movie Database","5.2/10","Metacritic","28/100",NA,NA
"173","Detroit","Crime, Drama, History","5 wins & 16 nominations.","Internet Movie Database","7.4/10","Rotten Tomatoes","84%","Metacritic","77/100"
"174","Fun Mom Dinner","Comedy","1 win & 1 nomination.","Internet Movie Database","5.1/10","Rotten Tomatoes","33%","Metacritic","46/100"
"175","Icarus","Documentary, Sport, Thriller","Won 1 Oscar. Another 5 wins & 9 nominations.","Internet Movie Database","8.0/10","Rotten Tomatoes","93%","Metacritic","68/100"
"176","It's Not Yet Dark","Documentary","2 wins & 8 nominations.","Internet Movie Database","7.7/10","Metacritic","75/100",NA,NA
"177","Kidnap","Action, Crime, Drama","1 nomination.","Internet Movie Database","5.9/10","Rotten Tomatoes","37%","Metacritic","44/100"
"178","Step","Documentary","8 wins & 20 nominations.","Internet Movie Database","6.8/10","Rotten Tomatoes","96%","Metacritic","81/100"
"179","The Dark Tower","Action, Adventure, Fantasy","3 nominations.","Internet Movie Database","5.7/10","Rotten Tomatoes","16%","Metacritic","34/100"
"180","The Layover","Comedy","N/A","Internet Movie Database","4.7/10","Rotten Tomatoes","0%","Metacritic","15/100"
"181","This Time Tomorrow","Drama","2 nominations.","Internet Movie Database","5.9/10",NA,NA,NA,NA
"182","Atomic Blonde","Action, Mystery, Thriller","6 wins & 15 nominations.","Internet Movie Database","6.7/10","Rotten Tomatoes","78%","Metacritic","63/100"
"183","From the Land of the Moon","Drama, Romance","14 nominations.","Internet Movie Database","6.7/10","Rotten Tomatoes","33%","Metacritic","40/100"
"184","I Dream in Another Language","Drama, Romance","8 wins & 3 nominations.","Internet Movie Database","7.5/10","Metacritic","64/100",NA,NA
"185","Imperfections","Comedy, Crime, Mystery, Thriller","N/A","Internet Movie Database","5.5/10","Metacritic","45/100",NA,NA
"186","Person to Person","Comedy, Drama","5 nominations.","Internet Movie Database","5.7/10","Rotten Tomatoes","51%","Metacritic","53/100"
"187","Rumble: The Indians Who Rocked The World","Documentary, Music","8 wins & 5 nominations.","Internet Movie Database","7.9/10","Rotten Tomatoes","90%","Metacritic","73/100"
"188","Sled Dogs","Documentary","2 wins.","Rotten Tomatoes","100%",NA,NA,NA,NA
"189","Strange Weather","Adventure, Drama","2 nominations.","Internet Movie Database","5.8/10","Rotten Tomatoes","59%","Metacritic","57/100"
"190","The Emoji Movie","Animation, Adventure, Comedy, Family","5 wins & 3 nominations.","Internet Movie Database","3.2/10","Rotten Tomatoes","8%","Metacritic","12/100"
"191","The Last Dalai Lama?","Documentary","N/A","Rotten Tomatoes","90%",NA,NA,NA,NA
"192","The Last Face","Drama","1 win & 1 nomination.","Internet Movie Database","4.7/10","Rotten Tomatoes","5%","Metacritic","16/100"
"193","Water and Sugar: Carlo Di Palma, the Colours of Life","Documentary","2 nominations.","Internet Movie Database","8.0/10","Rotten Tomatoes","70%","Metacritic","65/100"
"194","Women Who Kill","Comedy","N/A","Internet Movie Database","5.4/10",NA,NA,NA,NA
"195","First Kill","Action, Crime, Thriller","N/A","Internet Movie Database","4.9/10","Rotten Tomatoes","13%","Metacritic","39/100"
"196","Girls Trip","Comedy, Drama","10 wins & 32 nominations.","Internet Movie Database","6.2/10","Rotten Tomatoes","90%","Metacritic","71/100"
"197","Kékszakállú","Drama","1 win & 2 nominations.","Internet Movie Database","5.2/10",NA,NA,NA,NA
"198","Killing Ground","Horror, Thriller","2 nominations.","Internet Movie Database","5.8/10","Rotten Tomatoes","74%","Metacritic","59/100"
"199","Landline","Comedy, Drama","1 nomination.","Internet Movie Database","6.4/10","Metacritic","66/100",NA,NA
"200","Romeo Is Bleeding","Action, Crime, Drama","2 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","22%",NA,NA
"201","Santoalla","Documentary, Mystery","4 wins & 3 nominations.","Internet Movie Database","6.5/10","Rotten Tomatoes","85%","Metacritic","68/100"
"202","The Black Prince","Drama, History","12 wins.","Internet Movie Database","7.8/10","Rotten Tomatoes","8%","Metacritic","26/100"
"203","The Fencer","Drama, History, Sport","Nominated for 1 Golden Globe. Another 6 wins & 3 nominations.","Internet Movie Database","7.2/10","Rotten Tomatoes","85%","Metacritic","60/100"
"204","The Midwife","Drama","1 nomination.","Internet Movie Database","6.8/10","Metacritic","66/100",NA,NA
"205","The Pulitzer at 100","Documentary","N/A","Internet Movie Database","6.8/10","Metacritic","43/100",NA,NA
"206","The Untamed","Drama, Horror, Sci-Fi","2 wins & 12 nominations.","Internet Movie Database","6.2/10","Metacritic","72/100",NA,NA
"207","Birthright: A War Story","Documentary","N/A","Internet Movie Database","6.9/10","Rotten Tomatoes","100%","Metacritic","70/100"
"208","Blind","Drama","17 wins & 11 nominations.","Internet Movie Database","6.9/10","Rotten Tomatoes","94%","Metacritic","83/100"
"209","Bronx Gothic","Documentary","N/A","Internet Movie Database","6.7/10","Rotten Tomatoes","44%","Metacritic","66/100"
"210","Endless Poetry","Biography, Drama, Fantasy","1 win & 3 nominations.","Internet Movie Database","7.7/10","Rotten Tomatoes","93%","Metacritic","78/100"
"211","Footnotes","Comedy, Musical","1 nomination.","Internet Movie Database","6.0/10","Metacritic","60/100",NA,NA
"212","Lady Macbeth","Drama, Romance","Nominated for 2 BAFTA Film Awards. Another 18 wins & 39 nominations.","Internet Movie Database","6.9/10","Rotten Tomatoes","90%","Metacritic","76/100"
"213","The Wrong Light","Documentary","N/A","Internet Movie Database","8.1/10","Metacritic","54/100",NA,NA
"214","Wish Upon","Fantasy, Horror, Thriller","N/A","Internet Movie Database","5.1/10","Rotten Tomatoes","17%","Metacritic","32/100"
"215","Austin Found","Comedy, Drama","N/A","Internet Movie Database","5.2/10","Rotten Tomatoes","23%","Metacritic","46/100"
"216","City of Ghosts","Crime, Drama, Thriller","N/A","Internet Movie Database","6.0/10","Rotten Tomatoes","47%","Metacritic","57/100"
"217","Spider-Man: Homecoming","Action, Adventure, Sci-Fi","4 wins & 9 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","92%","Metacritic","73/100"
