"","movie","pick","review"
"55","Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",1,"In his documentary about Jim Carrey, Andy Kaufman and the making of “Man on the Moon,” the director Chris Smith finds multiple realities and laughs."
"56","Justice League",0,"In this superhero jamboree, the Flash, Aquaman and Cyborg sign on with the DC Comics team leaders Batman and Wonder Woman. (Psst … where’s Superman?)"
"57","Mudbound",1,"Dee Rees’s new film illuminates the daily cruelties in post-World War II Mississippi."
"58","Song of Granite",0,"This biography of the singer Joe Heaney seems uncertain of what made him tick."
"59","The Breadwinner",1,"The children in this animated film based on a novel by Deborah Ellis navigate life under the Taliban."
"60","Wet Woman in the Wind",0,"Let’s make no bones about it: This film, part of a project to reboot a Japanese soft-core genre, is designed to appeal to male prurient interest."
"61","Wonder",1,"Auggie, the little boy in this smart and warmhearted family film, is inspirational in his differences."
"62","Bitch",1,"Jason Ritter plays a husband whose wife goes to the dogs in this feminist horror-comedy."
"63","Daddy's Home 2",0,"Mel Gibson gets off lightly as a crass paterfamilias in this comedy sequel to the hit starring Will Ferrell and Mark Wahlberg."
"64","Hello Again",0,"This film from Tom Gustafson, based on a 1993 Off Broadway show, has a formidable cast of Broadway names but wants for dramatic traction."
"65","I Remember You",1,"The director Oskar Thor Axelsson prefers mood and compelling human conflict over copious gore to deliver chills. The result is effective."
"66","Intent to Destroy",0,"This documentary, directed by Joe Berlinger, explores the Armenian genocide through old footage of survivors and insights from historians."
"67","Mayhem",0,"“Mayhem,” featuring the “Walking Dead” actor Steven Yeun, embraces its pulpy title with fighting-and-fornicating glee."
"68","Murder on the Orient Express",0,"Kenneth Branagh assembles Judi Dench, Johnny Depp, Michelle Pfeiffer and others for his film remake of Agatha Christie’s mystery novel."
"69","Three Billboards Outside Ebbing, Missouri",0,"A ferocious Frances McDormand plays a grieving mother seeking justice in Martin McDonagh’s movie, which mixes tears and tragedy with corrosive laughs."
"70","Window Horses: The Poetic Persian Epiphany of Rosie Ming",1,"Ann Marie Fleming’s film explores the passions of a sheltered poet who travels to Shiraz, Iran, for a poetry festival."
"71","11/8/16",0,"The documentary followed more than 16 people to the polls on Election Day to learn about their thoughts and feelings on the candidates."
"72","1945",0,"Ferenc Torok’s lean feature is a Holocaust film built, consciously or not, on a reversal of the tropes of the western."
"73","A Bad Moms Christmas",0,"Christine Baranski, Cheryl Hines and Susan Sarandon join the cast for a sequel to “Bad Moms.”"
"74","A Gray State",0,"Erik Nelson’s documentary centers on the aspiring filmmaker David Crowley, whose violent death became a cause for conspiracy theorists."
"75","Along for the Ride",0,"Dennis Hopper’s life could be seen as a wild ride, on and off the screen. Someone who was by Hopper’s side interprets his story."
"76","Blade of the Immortal",0,"A brokenhearted girl and an undying samurai team up in Takashi Miike’s film."
"77","Frank Serpico",0,"The real Frank Serpico proves to be a compelling figure in a documentary that picks up where the classic Hollywood film left off."
"78","It Happened in L.A.",0,"This ensemble comedy from Michelle Morgan concerns one woman who exits a relationship, and another who seeks one. Their city only complicates matters."
"79","Lady Bird",1,"Saoirse Ronan plays a high school senior who insists on asserting her individuality, and it makes for a thrilling film."
"80","Last Flag Flying",0,"Three Vietnam vets — played by Steve Carell, Bryan Cranston and Laurence Fishburne — reunite during the Iraq war to accomplish a grim mission."
"81","LBJ",0,"Woody Harrelson swaggers through this movie, which tries to track the coming into consciousness of Lyndon B. Johnson."
"82","Most Beautiful Island",1,"This suspense film, about a woman entering a rabbit hole of urban peril, is an effective writing-directing debut for Ana Asensio, who also stars."
"83","My Friend Dahmer",0,"The story of the making of a monster."
"84","No Dress Code Required",0,"Cristina Herrera Borquez’s documentary follows Victor Aguirre and Fernando Urias in their bureaucratic battle to be legally married."
"85","The Light of the Moon",0,"Stephanie Beatriz plays a young woman who learns to survive after a night out ends in a brutal attack in this drama from Jessica M. Thompson."
"86","Thor: Ragnarok",0,"In the newest, loosest, goofiest and funniest Thor blowout, Chris Hemsworth’s superhero chillaxes with the Hulk and takes a punch from a Valkyrie."
"87","Wait for Your Laugh",0,"These documentaries go behind the scenes with their well-known subjects, Rose Marie and Gilbert Gottfried."
"88","All I See Is You",0,"This psychodrama from Marc Forster stars Blake Lively and Jason Clarke as a seemingly happy married couple."
"89","God's Own Country",1,"This feature debut of the writer and director Francis Lee is a bracing, sometimes brutal movie."
"90","Joan Didion: The Center Will Not Hold",1,"This documentary is directed by Griffin Dunne, Ms. Didion’s nephew, a relationship that limits the movie in certain ways, but opens it up in others."
"91","Maya Dardel",0,"A character who wants to play with power in a movie that reeks of scholarly pretension."
"92","Mully",0,"A documentary looks at Charles Mully, who gave up great wealth to aid the poor and homeless in his country."
"93","Suburbicon",0,"George Clooney stays off camera to direct Matt Damon and Julianne Moore in a caustic comedy about the good old American days of fear, hate and rage."
"94","Thank You for Your Service",0,"The film, from the screenwriter of “American Sniper,” is an earnest and powerful drama about Iraq veterans returning to Kansas."
"95","The Divine Order",0,"Set in 1971, Petra Volpe’s film takes a middlebrow, mildly rollicking approach toward a serious subject."
"96","Aida's Secrets",1,"This documentary follows Izak Szewelewicz, who was sent to Israel as a toddler after World War II, on a search for the brother he didn’t know he had."
"97","Dealt",0,"This documentary focuses on the hyperkinetic card magician Richard Turner."
"98","Geostorm",0,"In this action film, the world is threatened by a space-based weather-control system armed with ice, fire, hail and heavy rain."
"99","Jungle",0,"Daniel Radcliffe suffers for his art in this true-life survival tale about the Israeli adventurer Yossi Ghinsberg."
"100","L'enfant secret",0,"A film that opened in Paris in 1979 finally surfaces in the United States."
"101","Never Here",0,"This film, which features Sam Shepard in his final, all-too-brief screen role, plays more like an experimental art project."
"102","One of Us",0,"This documentary, directed by Heidi Ewing and Rachel Grady, follows three ultra-Orthodox Jews who have left the Hasidic community."
"103","Only the Brave",1,"This action drama from Joseph Kosinski — about the Granite Mountain Hotshots of Prescott, Ariz. — offers some real feeling under a schematic surface."
"104","The Snowman",0,"Michael Fassbender and other talented people wander through this leaden mess."
"105","Tragedy Girls",0,"In this slasher comedy, two high school social media stars find that murder is the best way to drum up followers for their online horror brand."
"106","Tyler Perry's Boo 2! A Madea Halloween",0,"In this sequel that feels like a remake, all prospects for amusement are never even vaguely realized."
"107","Wonderstruck",1,"Mr. Haynes’s lovely adaptation of Brian Selznick’s book centers on a girl in the 1920s and a boy in the ’70s whose lives are mysteriously connected."
"108","78/52",1,"A documentary by Alexandre O. Philippe finds plenty to examine in one of the most memorable scenes in American film."
"109","Breathe",0,"The disability-rights pioneer Robin Cavendish is given an upbeat biopic in “Breathe,” starring Andrew Garfield and Claire Foy."
"110","For Ahkeem",0,"A documentary observes a St. Louis student facing a bleak future if she can’t graduate from an alternative school."
"111","Happy Death Day",0,"A mean coed relives her own murder multiple times in this snappy horror-comedy."
"112","Marshall",0,"Reginald Hudlin’s movie about the crusading lawyer and Supreme Court Justice Thurgood Marshall smartly keeps the focus tight."
