"","movie","pick","review"
"192","Logan Lucky",1,"This class-conscious caper, with Channing Tatum and Adam Driver as down-on-their-luck brothers, is ridiculously entertaining."
"193","Patti Cake$",0,"This showbiz tale finds new talent in Danielle Macdonald, its star, and Geremy Jasper, its writer and director."
"194","Sidemen: Long Road to Glory",0,"“Sidemen: Long Road to Glory” is a loving tribute to the bluesmen Willie Smith, Hubert Sumlin and Joe Willie Perkins."
"195","The Hitman's Bodyguard",0,"Mr. Jackson is an ill-tempered contract killer. Ryan Reynolds is his uptight protector. You can figure out the rest."
"196","The Queen of Spain",0,"Fernando Trueba’s light ensemble comedy is a romp that pillories Hollywood’s deal-making with the Franco regime in the 1950s."
"197","A Taxi Driver",0,"Jang Hun’s drama recalls the efforts of the German TV journalist Jürgen Hinzpeter and a cabby he hired to record the Gwangju uprising in 1980."
"198","After Love",0,"A couple break up, but remain together, frustratingly, because of the husband’s financial woes."
"199","Annabelle: Creation",0,"The director David F. Sandberg proves to be a master of the flash-scare as he strings together jolts in this prequel to the 2014 film “Annabelle.”"
"200","Good Time",0,"Robert Pattinson plays a not-too-bright bank robber on the run in Josh and Benny Safdie’s latest film, “Good Time.”"
"201","Ingrid Goes West",0,"Matt Spicer’s debut feature is a showcase for Aubrey Plaza’s comedic timing and some unbecoming online behavior."
"202","Nocturama",0,"Bertrand Bonello’s “Nocturama” chronicles a dramatic attack in Paris, with remarkably little resonance with current events."
"203","Pilgrimage",0,"The story, set in 1209, finds a group of monks safeguarding a holy relic as they transport it across a violent countryside."
"204","Planetarium",0,"A spiritualist sister act from the United States enchants a film producer in Paris in Rebecca Zlotowski’s ambitious feature."
"205","The Farthest",1,"Emer Reynolds’s dazzling film traces the history of Voyager 1 and Voyager 2. Like the NASA team that produced these spacecraft, it inspires awe."
"206","The Glass Castle",0,"Adapted from Jeannette Walls’s best-selling memoir of her chaotic childhood, a movie decides to play it safe."
"207","The Nut Job 2",0,"A profiteering mayor threatens to displace a city park’s animal residents unless a grumpy squirrel named Surly can wreck his plans."
"208","The Only Living Boy in New York",0,"Marc Webb’s movie has an all-star cast (Jeff Bridges, Cynthia Nixon, Pierce Brosnan). Yet it lacks a proper story for them."
"209","The Trip to Spain",0,"Steve Coogan and Rob Brydon return for the latest installment in their banter-filled franchise, this time amid the glorious Iberian scenery."
"210","Whose Streets?",0,"The documentary “Whose Streets?” examines the protests that came after the traumatic police shooting of Michael Brown in 2014."
"211","4 Days in France",0,"In a director’s feature debut, an impulsive wanderer flees Paris for adventures in rural France."
"212","68 Kill",0,"This absurdly morbid comedy doesn’t take itself too seriously, and hopes viewers won’t, either, as bodies pile up and the violence never tones down."
"213","An Inconvenient Sequel: Truth to Power",1,"A follow-up to “An Inconvenient Truth,” with new information on climate change and even some positive developments."
"214","Armed Response",0,"This action-horror hybrid by John Stockwell flirts with intriguing ideas but betrays them with flat characters and undercooked pyrotechnics."
"215","Brave New Jersey",0,"Jody Lambert’s lighthearted comedy about the panic in a fictitious town after “The War of the Worlds” radio drama in 1938."
"216","Chronically Metropolitan",0,"The movie, featuring high-income characters in low-stakes situations, finds a writer returning home to Manhattan to win back a lost love."
"217","Columbus",1,"The video essayist Kogonada uses architecture to pose larger questions in a small Indiana town."
"218","Detroit",0,"Kathryn Bigelow’s new movie, set amid the Detroit riots of 1967, grapples with the legacy of American racism."
"219","Fun Mom Dinner",0,"In this comedy, Toni Collette, Molly Shannon, Bridget Everett and Katie Aselton are out to prove that mothers can have fun, too."
"220","Icarus",0,"“Icarus” was going to be a sort of “Super Size Me” film about steroids but switched gears when Russia was accused of helping Olympic athletes cheat."
"221","It's Not Yet Dark",0,"This documentary takes you into the mind and body of a young filmmaker, Simon Fitzmaurice, who wakes each morning closer to total paralysis."
"222","Kidnap",0,"This thriller follows a mother in pursuit of the kidnappers who have taken her son. “Wherever you go, I will be right behind you,” she seethes."
"223","Step",0,"Three high school seniors balance applying to college and devoting time to rehearsing for a major dance competition."
"224","The Dark Tower",0,"Idris Elba and Matthew McConaughey star in “The Dark Tower,” a mess of a movie based on Stephen King’s sprawling, multivolume series of the same title."
"225","The Layover",0,"Two longtime friends, played by Alexandra Daddario and Kate Upton, take a trip to Florida and end up vying for their seatmate’s attention."
"226","This Time Tomorrow",0,"Lina Rodriguez’s film, about a family of three in Colombia, is more consequential than it first appears."
