"","Title","Genre","Awards","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2"
"190","Rings","Drama, Horror, Romance","2 wins.","Internet Movie Database","4.5/10","Rotten Tomatoes","8%","Metacritic","25/100"
"191","Risk","Documentary","4 nominations.","Internet Movie Database","6.3/10","Rotten Tomatoes","81%","Metacritic","72/100"
"192","Rock Dog","Animation, Adventure, Comedy, Family, Music","2 nominations.","Internet Movie Database","5.9/10","Metacritic","48/100",NA,NA
"193","Rogue One: A Star Wars Story","Action, Adventure, Sci-Fi","Nominated for 2 Oscars. Another 23 wins & 78 nominations.","Internet Movie Database","7.8/10","Rotten Tomatoes","85%","Metacritic","65/100"
"194","Roman J. Israel, Esq.","Crime, Drama","Nominated for 1 Oscar. Another 1 win & 7 nominations.","Internet Movie Database","6.4/10","Rotten Tomatoes","51%","Metacritic","58/100"
"195","Rough Night","Comedy, Crime, Thriller","1 win & 1 nomination.","Internet Movie Database","5.2/10","Rotten Tomatoes","45%","Metacritic","51/100"
"196","Same Kind of Different as Me","Drama","N/A","Internet Movie Database","6.5/10","Rotten Tomatoes","33%","Metacritic","47/100"
"197","Seed: The Untold Story","Documentary","1 win.","Internet Movie Database","7.6/10","Rotten Tomatoes","92%",NA,NA
"198","Served Like a Girl","Documentary","1 win & 3 nominations.","Internet Movie Database","7.8/10","Rotten Tomatoes","100%","Metacritic","85/100"
"199","Shut In","Drama, Horror, Mystery","1 nomination.","Internet Movie Database","4.7/10","Rotten Tomatoes","10%","Metacritic","25/100"
"200","Silence","Adventure, Drama, History","Nominated for 1 Oscar. Another 6 wins & 51 nominations.","Internet Movie Database","7.2/10","Rotten Tomatoes","84%","Metacritic","79/100"
"201","Sing","Animation, Comedy, Family","Nominated for 2 Golden Globes. Another 2 wins & 21 nominations.","Internet Movie Database","7.1/10","Rotten Tomatoes","72%","Metacritic","59/100"
"202","Slamma Jamma","Drama, Sport","N/A","Internet Movie Database","6.5/10",NA,NA,NA,NA
"203","Sleepless","Action, Crime, Thriller","1 nomination.","Internet Movie Database","5.6/10","Rotten Tomatoes","23%","Metacritic","34/100"
"204","Sleight","Action, Drama, Sci-Fi","3 nominations.","Internet Movie Database","5.9/10","Rotten Tomatoes","75%","Metacritic","62/100"
